ano,quantidade_vinculos_ativos,cep,bairros_fortaleza
2019,1,60761250,0036
2019,2,60335480,0025
2019,13,60010000,0051
2019,4,60831270,0043
2019,1,60534280,0033
2019,2,60321070,0068
2019,3,60410691,0070
2019,4,60822180,0018
2019,3,60734230,0056
2019,1,60455220,0031
2019,6,60410691,0070
2019,2,60450460,0057
2019,3,60761210,0036
2019,1,60822180,0018
2019,2,60060370,0060
2019,5,60732540,0014
2019,1,60416420,0013
2019,2,60335050,0025
2019,17,60765040,0044
2019,7,60180190,0067
2019,4,60182160,0067
2019,2,60711180,0045
2019,2,60320080,0068
2019,1,60175410,0066
2019,5,60450330,0057
2019,4,60335000,0025
2019,1,60763810,0044
2019,1,60851730,0005
2019,1,60763790,0044
2019,2,60822180,0018
2019,1,60534010,0034
2019,1,60182301,0067
2019,92,60534090,0034
2019,1,60442610,0011
2019,1,60355000,0006
2019,2,60440700,0027
2019,6,60110260,0060
2019,34,60743480,0064
2019,2,60546210,0014
2019,1,60763640,0024
2019,3,60545450,0015
2019,1,60337200,0025
2019,1,60326220,0049
2019,1,60325590,0049
2019,22,60425000,0039
2019,4,60545320,0015
2019,27,60764050,0044
2019,10,60831070,0043
2019,2,60320000,0006
2019,4,60175310,0066
2019,3,60850500,0005
2019,1,60510650,0035
2019,4,60440110,0027
2019,2,60011110,0031
2019,2,60320000,0006
2019,34,60335000,0025
2019,13,60543310,0014
2019,8,60762840,0055
2019,2,60730440,0069
2019,6,60335000,0025
2019,6,60325005,0031
2019,32,60851190,0005
2019,7,60440250,0041
2019,1,60165082,0052
2019,2,60822360,0018
2019,1,60512030,0059
2019,4,60510290,0035
2019,1,60416510,0013
2019,3,60822200,0018
2019,1,60763440,0024
2019,4,60511480,0059
2019,1,60510290,0035
2019,7,60763480,0024
2019,6,60165120,0060
2019,13,60180000,0067
2019,15,60510450,0035
2019,21,60335480,0025
2019,1,60822160,0018
2019,22,60355660,0016
2019,5,60545350,0015
2019,1,60520470,0035
2019,1,60742110,0064
2019,6,60335480,0025
2019,1,60420070,0070
2019,2,60325610,0049
2019,3,60742150,0064
2019,3,60430270,0063
2019,12,60831600,0043
2019,1,60764280,0044
2019,5,60320000,0006
2019,12,60731470,0044
2019,4,60713330,0044
2019,1,60410680,0070
2019,3,60320580,0068
2019,7,60520210,0041
2019,1,60713500,0069
2019,2,60541490,0015
2019,1,60764020,0044
2019,1,60440770,0011
2019,2,60175230,0052
2019,1,60545370,0015
2019,1,60180480,0067
2019,1,60731480,0014
2019,1,60181481,0009
2019,5,60060240,0060
2019,23,60320280,0068
2019,45,60763590,0024
2019,4,60336010,0006
2019,7,60325000,0031
2019,3,60450340,0057
2019,5,60712120,0044
2019,1,60416200,0013
2019,2,60320000,0006
2019,5,60450340,0057
2019,3,60160130,0066
2019,3,60831830,0043
2019,1,60540440,0014
2019,1,60732290,0014
2019,1,60765500,0004
2019,2,60441690,0011
2019,1,60450360,0057
2019,3,60822180,0018
2019,1,60455470,0007
2019,87,60741000,0064
2019,15,60431070,0063
2019,1,60860000,0028
2019,1,60181830,0067
2019,20,60720001,0069
2019,310,60430270,0063
2019,1,60335080,0025
2019,1,60540000,0014
2019,2,60455490,0007
2019,21,60420090,0070
2019,3,60060610,0060
2019,5,60425790,0026
2019,6,60430120,0063
2019,22,60325000,0031
2019,1,60182010,0067
2019,3,60710700,0045
2019,2,60175330,0066
2019,1,60182440,0009
2019,21,60510410,0035
2019,5,60822180,0018
2019,4,60450340,0057
2019,2,60822332,0018
2019,12,60416000,0039
2019,5,60312280,0025
2019,2,60325610,0049
2019,1,60440140,0027
2019,7,60120420,0005
2019,1,60183600,0067
2019,5,60832650,0043
2019,2,60541420,0015
2019,22,60764020,0044
2019,1,60831610,0043
2019,4,60440570,0059
2019,57,60335480,0025
2019,1,60541420,0015
2019,3,60741600,0064
2019,2,60510461,0059
2019,1,60175480,0052
2019,1,60182000,0067
2019,7,60440030,0027
2019,5,60430140,0063
2019,4,60763450,0024
2019,3,60732110,0014
2019,4,60763730,0024
2019,12,60440040,0027
2019,6,60410700,0070
2019,53,60120420,0005
2019,14,60541420,0015
2019,2,60350550,0049
2019,1,60160240,0066
2019,2,60741300,0064
2019,4,60764020,0044
2019,1,60732200,0014
2019,28,60864190,0017
2019,57,60833020,0043
2019,2,60335000,0025
2019,16,60350550,0049
2019,1,60831600,0043
2019,5,60335000,0025
2019,1,60763460,0024
2019,3,60430000,0026
2019,3,60512030,0059
2019,1,60534130,0033
2019,2,60441690,0011
2019,2,60181200,0052
2019,8,60010040,0051
2019,1,60831414,0043
2019,4,60325450,0049
2019,1,60165050,0060
2019,28,60820140,0062
2019,8,60864400,0017
2019,10,60160240,0066
2019,28,60355380,0006
2019,1,60763480,0024
2019,15,60015180,0031
2019,1,60325000,0031
2019,1,60545350,0015
2019,1,60441750,0011
2019,9,60850780,0005
2019,1,60831270,0043
2019,1,60325000,0031
2019,8,60430620,0063
2019,1,60534010,0034
2019,1,60440150,0027
2019,10,60165050,0060
2019,90,60420130,0070
2019,34,60310002,0006
2019,3,60510290,0035
2019,1,60713200,0044
